From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q8DNM8	Q8DNM8	reviewed	TRPB_STRR6	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB spr1632	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	407	cytoplasm [GO:0005737]; tryptophan synthase activity [GO:0004834]; tryptophan biosynthetic process [GO:0000162]
Q8CZ54	Q8CZ54	unreviewed	Q8CZ54_STRR6	Histone acetyltransferase	spr0435	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	129	
Q8DQS6	Q8DQS6	unreviewed	Q8DQS6_STRR6	PucR C-terminal helix-turn-helix domain-containing protein	spr0521	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	294	
Q8CYS1	Q8CYS1	unreviewed	Q8CYS1_STRR6	DUF4649 family protein	spr0999	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	83	
Q8DR10	Q8DR10	reviewed	GATA_STRR6	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA spr0394	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	488	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; translation [GO:0006412]
Q8DNM7	Q8DNM7	reviewed	TRPF_STRR6	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF spr1633	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	199	phosphoribosylanthranilate isomerase activity [GO:0004640]; tryptophan biosynthetic process [GO:0000162]
Q8DQT4	Q8DQT4	unreviewed	Q8DQT4_STRR6	Degenerate transposase	spr0512	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	42	
Q8DQW4	Q8DQW4	unreviewed	Q8DQW4_STRR6	BlpC ABC transporter	spr0466	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	335	
Q8DQD7	Q8DQD7	unreviewed	Q8DQD7_STRR6	ATP dependent protease	clpE spr0725	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	752	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; proteolysis [GO:0006508]
Q8DQB3	Q8DQB3	unreviewed	Q8DQB3_STRR6	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	ilvE spr0758	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	340	branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]
Q8DP71	Q8DP71	reviewed	PDXS_STRR6	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)	pdxS spr1322	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	291	amine-lyase activity [GO:0016843]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]
Q8DP21	Q8DP21	unreviewed	Q8DP21_STRR6	S-transferase	spr1409	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	263	
Q8CYT5	Q8CYT5	unreviewed	Q8CYT5_STRR6	Uncharacterized protein	spr0949	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	105	
Q8CYM6	Q8CYM6	unreviewed	Q8CYM6_STRR6	TIGR01906 family membrane protein	spr1263	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	216	membrane [GO:0016020]
Q8CYI9	Q8CYI9	unreviewed	Q8CYI9_STRR6	NADPH-dependent FMN reductase-like domain-containing protein	spr1402	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	209	cytosol [GO:0005829]; FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]
Q8CYI3	Q8CYI3	unreviewed	Q8CYI3_STRR6	Membrane associated protein	spr1428	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	56	membrane [GO:0016020]
Q8CWQ9	Q8CWQ9	reviewed	RL19_STRR6	Large ribosomal subunit protein bL19 (50S ribosomal protein L19)	rplS spr1171	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	115	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q8CZ07	Q8CZ07	unreviewed	Q8CZ07_STRR6	ABC-2 type transporter transmembrane domain-containing protein	spr0611	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	237	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]
Q8DRG6	Q8DRG6	unreviewed	Q8DRG6_STRR6	ABC transporter ATP-binding/membrane spanning permease-possible multidrug resistance	ABC-NP spr0137	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	538	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; transmembrane transport [GO:0055085]
Q8CYV3	Q8CYV3	unreviewed	Q8CYV3_STRR6	Glycosyl hydrolase family 25	spr0890	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	266	membrane [GO:0016020]; lysozyme activity [GO:0003796]; cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]
Q8CYR8	Q8CYR8	unreviewed	Q8CYR8_STRR6	Uncharacterized protein	spr1016	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	57	
Q8CWP6	Q8CWP6	unreviewed	Q8CWP6_STRR6	Chromosome replication initiation protein/membrane attachment protein, Putative	dnaB spr1556	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	389	
P67466	P67466	reviewed	EX7S_STRR6	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB spr1088	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	70	cytosol [GO:0005829]; exodeoxyribonuclease VII complex [GO:0009318]; exodeoxyribonuclease VII activity [GO:0008855]; DNA catabolic process [GO:0006308]
Q8DNQ3	Q8DNQ3	unreviewed	Q8DNQ3_STRR6	CorA-magnesium and cobalt transporter	corA spr1596	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	298	membrane [GO:0016020]; metal ion transmembrane transporter activity [GO:0046873]
Q8DQM2	Q8DQM2	reviewed	MURD_STRR6	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD spr0603	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	450	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]
Q8CYR9	Q8CYR9	unreviewed	Q8CYR9_STRR6	Uncharacterized protein	spr1015	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	56	
Q8CYG7	Q8CYG7	unreviewed	Q8CYG7_STRR6	Uncharacterized protein	spr1489	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	72	membrane [GO:0016020]
Q8DPE0	Q8DPE0	reviewed	MECA_STRR6	Adapter protein MecA	mecA spr1220	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	245	protein-macromolecule adaptor activity [GO:0030674]
Q8DQ46	Q8DQ46	unreviewed	Q8DQ46_STRR6	PhoH-like protein	phoL spr0849	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	322	cytosol [GO:0005829]; ATP binding [GO:0005524]
Q8DRD9	Q8DRD9	unreviewed	Q8DRD9_STRR6	Cardiolipin synthase (EC 2.7.8.-)	cls spr0180	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	510	plasma membrane [GO:0005886]; cardiolipin synthase activity [GO:0008808]; cardiolipin biosynthetic process [GO:0032049]
Q8CYQ8	Q8CYQ8	unreviewed	Q8CYQ8_STRR6	Bacteriocin immunity protein	spr1091	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	100	bacteriocin immunity [GO:0030153]
P0A452	P0A452	reviewed	RECA_STRR6	Protein RecA (Recombinase A)	recA spr1757	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	388	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; establishment of competence for transformation [GO:0030420]; SOS response [GO:0009432]
Q8DQF5	Q8DQF5	unreviewed	Q8DQF5_STRR6	DUF1129 family protein	spr0698	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	291	membrane [GO:0016020]
Q8DN14	Q8DN14	unreviewed	Q8DN14_STRR6	Transcriptional repressor for Zn(2+)-responsive expression	adcR spr1978	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	166	DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]
Q8CZ78	Q8CZ78	unreviewed	Q8CZ78_STRR6	ABM domain-containing protein	spr0275	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	121	
Q8DR68	Q8DR68	unreviewed	Q8DR68_STRR6	ATP-dependent protease ATP-binding subunit	clpL spr0307	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	701	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; cellular response to heat [GO:0034605]; proteolysis [GO:0006508]
Q8DQZ7	Q8DQZ7	reviewed	DPO4_STRR6	DNA polymerase IV (Pol IV) (EC 2.7.7.7)	dinB spr0414	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	353	cytoplasm [GO:0005737]; damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; magnesium ion binding [GO:0000287]; DNA-templated DNA replication [GO:0006261]; error-prone translesion synthesis [GO:0042276]; SOS response [GO:0009432]
Q8DPP4	Q8DPP4	unreviewed	Q8DPP4_STRR6	PTS system, lactose-specific IIA component (EC 2.7.-.-)	lacF spr1071	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	105	metal ion binding [GO:0046872]; transferase activity [GO:0016740]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
Q8DNL5	Q8DNL5	unreviewed	Q8DNL5_STRR6	Bacterial sugar transferase domain-containing protein	spr1655	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	243	membrane [GO:0016020]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]
Q8DNA4	Q8DNA4	unreviewed	Q8DNA4_STRR6	Phosphotyrosine protein phosphatase I domain-containing protein	spr1839	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	142	protein tyrosine phosphatase activity [GO:0004725]
Q8DPQ4	Q8DPQ4	reviewed	UNG_STRR6	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung spr1055	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	217	cytoplasm [GO:0005737]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair, AP site formation via deaminated base removal [GO:0097510]
Q8DR84	Q8DR84	unreviewed	Q8DR84_STRR6	Permease IIC component	PTS-EII spr0282	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	448	plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; carbohydrate derivative transport [GO:1901264]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
Q8CYI8	Q8CYI8	unreviewed	Q8CYI8_STRR6	G5 domain-containing protein	spr1403	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	2551	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
Q8DR71	Q8DR71	unreviewed	Q8DR71_STRR6	Transcription regulator	yorfE spr0301	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	64	DNA binding [GO:0003677]
Q8CZD2	Q8CZD2	unreviewed	Q8CZD2_STRR6	Septum formation initiator family protein	spr0008	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	122	membrane [GO:0016020]; cell division [GO:0051301]
Q8DN26	Q8DN26	unreviewed	Q8DN26_STRR6	Band 7 domain-containing protein	spr1962	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	299	
Q8DMZ4	Q8DMZ4	unreviewed	Q8DMZ4_STRR6	Choline binding protein D	cbpD spr2006	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	448	
Q8DPW0	Q8DPW0	unreviewed	Q8DPW0_STRR6	MIP18 family-like domain-containing protein	spr0980	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	120	
Q8DPG9	Q8DPG9	unreviewed	Q8DPG9_STRR6	HD domain-containing protein	spr1169	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	466	dGTPase activity [GO:0008832]; dGTP catabolic process [GO:0006203]
Q8DQK1	Q8DQK1	unreviewed	Q8DQK1_STRR6	Cobalt ABC transporter domain-containing protein	spr0633	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	216	membrane [GO:0016020]
Q8DPI5	Q8DPI5	unreviewed	Q8DPI5_STRR6	Homologous to LicB, which regulates expression of LPS epitopes in H. influenzae	licB spr1146	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	296	membrane [GO:0016020]
Q8DQY3	Q8DQY3	unreviewed	Q8DQY3_STRR6	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase)	cspR spr0432	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	180	cytoplasm [GO:0005737]; RNA binding [GO:0003723]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; tRNA methyltransferase activity [GO:0008175]; wobble position cytosine ribose methylation [GO:0002131]; wobble position uridine ribose methylation [GO:0002132]
Q8CYQ5	Q8CYQ5	unreviewed	Q8CYQ5_STRR6	Niacin ECF transporter S component NiaX	spr1113	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	193	membrane [GO:0016020]
Q8DMZ1	Q8DMZ1	unreviewed	Q8DMZ1_STRR6	Cyclic-di-AMP phosphodiesterase (EC 3.1.4.-)	spr2010	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	657	plasma membrane [GO:0005886]; cyclic-di-AMP phosphodiesterase activity [GO:0106409]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
Q7CRA4	Q7CRA4	unreviewed	Q7CRA4_STRR6	Penicillin-binding protein 1b (EC 2.3.2.-, EC 2.4.1.129)	pbp1b spr1909	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	821	membrane [GO:0016020]; acyltransferase activity [GO:0016746]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]
Q8DR12	Q8DR12	unreviewed	Q8DR12_STRR6	General stress protein, Gls24 family	spr0391	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	129	
Q8DNI2	Q8DNI2	unreviewed	Q8DNI2_STRR6	ABC transporter ATP-binding protein-oligopeptide transport	amiF spr1703	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	323	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]; peptide transport [GO:0015833]
Q8DNW2	Q8DNW2	unreviewed	Q8DNW2_STRR6	Integral membrane protein	spr1507	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	87	membrane [GO:0016020]
Q8DR93	Q8DR93	unreviewed	Q8DR93_STRR6	CPBP family intramembrane metalloprotease	spr0265	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	236	membrane [GO:0016020]; metalloendopeptidase activity [GO:0004222]; CAAX-box protein processing [GO:0071586]
Q9EUQ7	Q9EUQ7	reviewed	SCPA_STRR6	Segregation and condensation protein A	scpA spr1691	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	242	cytoplasm [GO:0005737]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]
Q8DP11	Q8DP11	unreviewed	Q8DP11_STRR6	Putative gluconeogenesis factor	spr1423	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	325	cytoplasm [GO:0005737]; LPPG:FO 2-phospho-L-lactate transferase activity [GO:0043743]; regulation of cell shape [GO:0008360]
Q8DR98	Q8DR98	unreviewed	Q8DR98_STRR6	Phosphotransferase system, mannose-specific EIIC (EC 2.7.1.69)	manM spr0260	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	267	plasma membrane [GO:0005886]; D-glucosamine PTS permease activity [GO:0103111]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
Q8DQ16	Q8DQ16	unreviewed	Q8DQ16_STRR6	adenosylhomocysteine nucleosidase (EC 3.2.2.9)	pfs spr0894	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	230	cytosol [GO:0005829]; adenosylhomocysteine nucleosidase activity [GO:0008782]; methylthioadenosine nucleosidase activity [GO:0008930]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; nucleoside catabolic process [GO:0009164]
Q8DN74	Q8DN74	reviewed	G6PI_STRR6	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi gpi spr1882	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	449	cytosol [GO:0005829]; carbohydrate derivative binding [GO:0097367]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]
Q8DPR0	Q8DPR0	unreviewed	Q8DPR0_STRR6	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	acoL spr1048	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	567	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]
Q8DR05	Q8DR05	unreviewed	Q8DR05_STRR6	Acetolactate synthase (EC 2.2.1.6)	ilvB spr0401	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	566	acetolactate synthase complex [GO:0005948]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]
Q8DQX7	Q8DQX7	unreviewed	Q8DQX7_STRR6	Transcriptional repressor of the glutamine synthetase protein	glnR spr0443	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	118	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
Q8CYT2	Q8CYT2	unreviewed	Q8CYT2_STRR6	Phosphoesterase	spr0953	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	258	
Q8CY95	Q8CY95	unreviewed	Q8CY95_STRR6	Uncharacterized protein	spr1786	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	53	
Q8DQ63	Q8DQ63	unreviewed	Q8DQ63_STRR6	Pseudouridine synthase (EC 5.4.99.-)	rluD spr0830	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	295	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]
P0A4N4	P0A4N4	reviewed	MALD_STRR6	Maltodextrin transport system permease protein MalD	malD spr1920	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	280	plasma membrane [GO:0005886]; ABC-type maltose transporter activity [GO:0015423]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]
Q8CWQ4	Q8CWQ4	reviewed	SYN_STRR6	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	asnS spr1397	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	447	cytoplasm [GO:0005737]; asparagine-tRNA ligase activity [GO:0004816]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; transferase activity [GO:0016740]; asparaginyl-tRNA aminoacylation [GO:0006421]
P63958	P63958	reviewed	DLTC_STRR6	D-alanyl carrier protein (DCP) (D-alanine--poly(phosphoribitol) ligase subunit 2)	dltC spr1980	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	79	cytoplasm [GO:0005737]; D-alanyl carrier activity [GO:0036370]; cell wall organization [GO:0071555]; lipoteichoic acid biosynthetic process [GO:0070395]
Q8DQC3	Q8DQC3	unreviewed	Q8DQC3_STRR6	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)	cdd spr0746	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	129	cytosol [GO:0005829]; cytidine deaminase activity [GO:0004126]; deoxycytidine deaminase activity [GO:0047844]; zinc ion binding [GO:0008270]; cytidine deamination [GO:0009972]
Q8DPU0	Q8DPU0	unreviewed	Q8DPU0_STRR6	phosphate acetyltransferase (EC 2.3.1.8)	pta spr1007	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	324	phosphate acetyltransferase activity [GO:0008959]
Q8DNE1	Q8DNE1	reviewed	YIDC1_STRR6	Membrane protein insertase YidC 1 (Foldase YidC 1) (Membrane integrase YidC 1) (Membrane protein YidC 1)	yidC1 spr1790	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	308	plasma membrane [GO:0005886]; membrane insertase activity [GO:0032977]; protein insertion into membrane [GO:0051205]; protein transport [GO:0015031]
Q7CRB7	Q7CRB7	reviewed	ACCD_STRR6	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD spr0386	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	288	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]
Q8DQ60	Q8DQ60	reviewed	PROA_STRR6	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA spr0833	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	420	cytoplasm [GO:0005737]; glutamate-5-semialdehyde dehydrogenase activity [GO:0004350]; NADP binding [GO:0050661]; L-proline biosynthetic process [GO:0055129]
Q8DPW5	Q8DPW5	reviewed	CAPP_STRR6	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc spr0974	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	898	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]
